name	age	seasons	mins	apps	minapp	starts	subs	ga	ga90	sota	win	draw	loss	cs	csperc	saves	rank
"John Burridge"	1	1	412	5	82.4	4	1	8	1.7475728155	19	1	1	2	0	0	57.89473684	37
"Colin Doyle"	4	2	321	4	70.5	3	1	9	3.64705882355	23	0	1	3	0	0	59.82142857	37
"Martín Herrera"	1	1	141	2	70.5	1	1	3	1.914893617	8	0	2	0	0	0	62.5	37
"Jason Kearton"	3	2	403	6	76.3	3	3	11	2.6501597444	30	0	1	3	0	0	63.06818182	37
"Tommy Wright"	8	4	694	8	87.833333333325	7	1	16	1.87773224045	45	1	3	4	0	0	68.4027777775	37
"Martin Taylor"	1	1	270	3	90	3	0	3	1	10	1	1	1	1	33.3	70	37
"Lee Camp"	1	1	226	3	75.3333333333	1	2	4	1.592920354	15	0	2	1	0	0	73.33333333	37
"Joe Murphy"	1	1	145	2	72.5	1	1	4	2.4827586207	12	0	0	2	0	0	66.66666667	36
"Jake Kean"	1	1	90	1	90	1	0	2	2	6	0	0	1	0	0	66.66666667	36
"Ruud Boffin"	1	1	90	1	90	1	0	1	1	3	0	1	0	0	0	66.66666667	36
"Marlon Beresford"	4	3	550	9	65.333333333325	5	4	10	1.3125	32	1	3	2	0	0	49.8913043475	35
"Jimmy Walker"	1	1	270	3	90	3	0	6	2	14	1	0	2	1	33.3	57.14285714	35
"Rhys Wilmot"	1	1	486	6	81	6	0	9	1.6666666667	25	2	2	2	1	16.7	64	35
"Kevin Pilkington"	3	2	425	5	85.83333333335	4	1	9	1.85204081635	25	1	2	2	1	25	64.423076925	35
"Joel Coleman"	1	1	90	1	90	1	0	1	1	3	0	1	0	0	0	66.66666667	35
"Danny Coyne"	1	1	158	4	39.5	1	3	4	2.2784810127	14	0	1	1	0	0	71.42857143	35
"Paul Rachubka"	11	2	215	3	76.25	2	1	7	2.52	18	1	0	2	1	50	78.125	35
"Massimo Taibi"	1	1	360	4	90	4	0	11	2.75	26	1	2	1	0	0	57.69230769	34
"Darren Ward"	4	2	298	4	59	3	1	4	2.10714285715	17	1	1	1	1	16.65	72.61904762	34
"Sergio Romero"	3	3	630	7	90	7	0	2	0.166666666666667	23	4	2	1	6	91.6666666666667	92.5925925933333	34
"Jakob Haugaard"	1	1	405	5	81	4	1	11	2.4444444444	22	0	2	2	0	0	50	33
"Mark Travers"	1	1	180	2	90	2	0	5	2.5	14	1	0	1	1	50	64.28571429	33
"Alan Blayney"	2	2	270	3	90	3	0	7	2.25	23	0	2	1	0	0	66.11111111	33
"Andy Marriott"	11	3	630	7	90	7	0	10	1.46666666666667	33	1	1	5	0	0	71.6161616166667	33
"Emiliano Martínez"	3	2	482	6	82.75	5	1	7	1.34602649005	16	3	0	2	3	58.35	56.25	32
"Ben Alnwick"	5	2	540	6	90	6	0	16	3.2	51	0	0	6	0	0	61.04651163	32
"Aidan Davison"	6	3	826	10	85.8888888889	9	1	20	2.0035765379	56	2	3	4	1	16.6666666666667	63.26007326	32
"Elvis Hammond"	1	1	1084	13	83.3846153846	11	2	20	1.6605166052	57	3	5	5	0	0	64.9122807	32
"Gavin Ward"	4	3	1402	17	82.8888888889	15	2	31	1.9898597627	100	2	4	9	0	0	69.3454242266667	32
Fabricio	1	1	180	2	90	2	0	5	2.5	20	0	0	2	0	0	75	32
"Rami Shaaban"	1	1	223	3	74.3333333333	3	0	2	0.8071748879	9	2	0	0	1	33.3	77.77777778	32
"Vladimir Stojković"	1	1	360	4	90	4	0	8	2	19	0	1	3	0	0	57.89473684	31
"Jonathan Gould"	3	3	2250	25	90	25	0	41	1.62433862433333	123	8	9	8	7	28.0333333333333	66.82132682	31
"Neil Moss"	6	5	2081	24	88.24444444444	22	2	32	1.39385707772	111	6	8	10	6	20.96	70.617826618	31
"Alan Fettis"	3	3	1260	14	90	14	0	27	1.45833333333333	83	3	5	6	4	45.8333333333333	76.1503928166667	31
"Jak Alnwick"	1	1	495	6	82.5	5	1	14	2.5454545455	23	2	1	3	0	0	39.13043478	30
"Kevin Stuhr Ellegaard"	1	1	295	4	73.75	2	2	8	2.4406779661	19	0	0	3	0	0	57.89473684	30
"Stefan Postma"	3	3	803	11	66.4444444444333	7	4	18	2.33938692886667	56	3	3	3	2	13.3333333333333	68.75901876	30
"Lewis Price"	1	1	540	6	90	6	0	10	1.6666666667	33	0	1	5	0	0	69.6969697	30
"Andy Petterson"	7	2	721	11	76.55	8	3	19	1.78367670365	60	3	3	5	1	7.15	71.42857143	30
"Jason Brown"	4	3	696	9	69.25	6	3	9	0.8273809524	29	5	2	2	2	22.2	78.5714285733333	30
"Ron-Robert Zieler"	1	1	754	9	83.7777777778	8	1	16	1.9098143236	33	2	1	5	1	12.5	51.51515152	29
"Vince Bartram"	1	1	990	11	90	11	0	18	1.6363636364	49	3	2	6	2	18.2	63.26530612	29
"Simon Tracey"	4	4	2313	27	87.85	25	2	38	2.18178474515	132	6	8	11	6	12.7	64.5956851125	29
Doni	1	1	295	4	73.75	4	0	3	0.9152542373	11	0	1	2	0	0	72.72727273	29
"Dorus de Vries"	1	1	320	4	80	4	0	8	2.25	20	0	2	2	1	25	60	28
"Stuart Taylor"	12	6	2752	34	81.7486111111167	29	5	47	1.7065059565	139	11	9	11	3	6.08333333333333	65.35988905	28
"Kostas Chalkias"	1	1	450	5	90	5	0	11	2.2	38	1	0	4	0	0	71.05263158	28
"Jan Laštůvka"	1	1	569	7	81.2857142857	6	1	15	2.3725834798	53	0	2	4	0	0	71.69811321	28
"Lars Leese"	1	1	810	9	90	9	0	17	1.8888888889	63	2	1	6	1	11.1	73.01587302	28
"Ian Ironside"	1	1	1044	12	87	11	1	19	1.6379310345	71	3	3	5	2	18.2	73.23943662	28
"David Button"	1	1	360	4	90	4	0	5	1.25	19	1	1	2	1	25	73.68421053	28
